reviewPriority,inducteeId,inducteeName,classYear,region,sourceProfileCount,primarySourceProfileUrl,profileAliasCount,newImageReviewCount,newProfileVideoReviewCount,newContextVideoReviewCount,relationshipReviewCount,placeReviewCount,organizationReviewCount,primaryStoryLeadCount,manualFlags,nextBestAction
standard,samuel-h-miller-2013,Samuel H. Miller,2013,Europe,1,https://clevelandinternationalhalloffame.com/sam-miller-2013/,0,0,0,0,2,0,11,3,relationship-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
standard,anthony-yen-yan-yuan-tai-2012,Anthony Yen (Yan Yuan Tai),2012,Asia,1,https://clevelandinternationalhalloffame.com/anthony-yen-2012/,0,0,0,0,0,0,25,3,organization-review|summary-approval-needed,Review organization mentions.
standard,dr-jaya-shah-2012,Dr. Jaya Shah,2012,Asia,1,https://clevelandinternationalhalloffame.com/dr-jaya-shah-2012/,0,0,0,2,9,1,3,3,video-context-review|relationship-review|geography-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
standard,fr-jim-o-donnell-2012,Fr. Jim O’Donnell,2012,Europe,1,https://clevelandinternationalhalloffame.com/fr-jim-odonnell-2012/,0,0,0,0,0,0,0,2,summary-approval-needed,Rewrite and approve concise summary/context.
standard,hon-mary-rose-oakar-2012,Hon. Mary Rose Oakar,2012,Asia,1,https://clevelandinternationalhalloffame.com/rep-mary-rose-oakar-2012/,0,0,0,0,0,0,16,3,organization-review|summary-approval-needed,Review organization mentions.
standard,ken-kovach-2012,Ken Kovach,2012,Europe,1,https://clevelandinternationalhalloffame.com/ken-kovach-2012/,0,0,0,12,16,0,16,3,video-context-review|relationship-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
standard,milton-maltz-2012,Milton Maltz,2012,Europe,1,https://clevelandinternationalhalloffame.com/milton-maltz-2012/,0,0,0,2,7,0,6,3,video-context-review|relationship-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
standard,vladimir-rus-2012,Vladimir Rus,2012,Europe,1,https://clevelandinternationalhalloffame.com/vladimir-rus-2012/,0,0,0,4,7,1,17,3,video-context-review|relationship-review|geography-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
standard,gerald-m-quinn-2011,Gerald M. Quinn,2011,Europe,1,https://clevelandinternationalhalloffame.com/gerald-m-quinn-2011/,0,0,0,2,7,0,2,3,video-context-review|relationship-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
standard,giahoa-ryan-2011,Giahoa Ryan,2011,Asia,1,https://clevelandinternationalhalloffame.com/giahoa-ryan-2011/,0,0,0,2,7,0,2,3,video-context-review|relationship-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
standard,lucretia-stoica-2011,Lucretia Stoica,2011,Europe,1,https://clevelandinternationalhalloffame.com/lucretia-stoica-2011/,0,0,0,4,7,0,7,3,video-context-review|relationship-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
standard,luis-martinez-2011,Luis Martinez,2011,North America,1,https://clevelandinternationalhalloffame.com/luis-martinez-2011/,0,0,0,2,7,0,5,3,video-context-review|relationship-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
standard,reverend-dr-otis-moss-jr-2011,"Reverend Dr. Otis Moss, Jr.",2011,Africa,1,https://clevelandinternationalhalloffame.com/reverend-dr-otis-moss-jr-2011/,0,0,0,0,0,0,15,3,organization-review|summary-approval-needed,Review organization mentions.
standard,tony-petkovsek-2011,Tony Petkovsek,2011,Europe,1,https://clevelandinternationalhalloffame.com/tony-petkovsek-2011/,0,0,0,4,8,0,5,3,video-context-review|relationship-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
